"Model","Hull type","Category","Sailboat builder","Sailboat designer","Country","Construction","First built hull","Last built hull","Appendages","Helm","Rudder","Unsinkable","Trailerable","EC design category","Standard public price ex. VAT (indicative only)","Hull length","Beam (width)","Draft","Light displacement (MLC)","Upwind sail area","Downwind sail area","Mainsail area","Genoa area","Asymmetric spinnaker area","Rigging type","Mast configuration","Rotating spars","Number of levels of spreaders","Spreaders angle","Spars construction","Upwind sail area to displacement","Downwind sail area to displacement","Engine(s)","Engine(s) power","Fuel type","Cockpit","Cabin(s) (min./max.)","Berth(s) (min./max.)","Head(s)","Version","Waterline length","Ballast weight","Ballast type","Symmetric spinnaker area","I","J","P","E","HN (French rating)","Displacement-length ratio (DLR)","Ballast ratio","Critical hull speed","Fuel tank capacity","Berth(s)","Freshwater tank capacity","Maximum headroom","Draft when appendages up","Overall length","Cabin(s)","Fridge/ice-box capacity","Head headroom","Berth length","Berth width","Mast height from DWL","Standing rigging","Engine(s) power (min./max.)","Galley headroom","Saloon table length","Saloon table width (min./max.)","Chart table","Berth width (head/elbows/knees/feet)","French customs tonnage","Holding tank capacity","Sailboat collection","Number of hulls built","Jib area","Solent area","IOR rating","Waterline beam (width)","Staysail area","Righting moment @ 1°","Righting moment @ 30°","Award(s)","Head(s) (min./max.)","Boiler capacity","Former French navigation category","Saloon table width","Maximum displacement (MLDC)","Capacity","Mizzen sail area","Gennaker area","Code 0 area","Code 5 area","Fore freeboard","Mid-ship freeboard","Wetted area","Maximum transverse section","Stormjib area","Saloon width (min./max.)","Berth width (head/feet)","Folding type","Overall width folded","Overall length folded","Sailboat range","Running backstays","Yankee area","Crew","D-PN rating","Maximum righting moment","PY (Portsmouth Yardstick) rating","Water ballast","Water ballast capacity","Trapezes","Saloon width","Mizzen staysail area","Prismatic coefficient","source"
"Surprise","Monohull","One design sailboat","Archambault & BG Race","Joubert Nivelt Design","France","GRP (glass reinforced polyester):  - Hull: Single skin  fiberglass polyester  - Deck: Sandwich balsa fiberglass polyester","1977","Still in production","Keel : fin without bulb","Single tiller","Single spade rudder","No","Yes","C","About 32 700 € (2017)","25’ 1”7.65 m","8’ 1”2.48 m","5’ 2”1.6 m","2976 lb1350 kg","328 ft²30.5 m²","662 ft²61.5 m²","178 ft²16.5 m²","151 ft²14 m²","","Sloop Marconi 7/8","Deck stepped mast","No","1","Swept-back","Aluminum spars","269 ft²/T24.97 m²/T","542 ft²/T50.35 m²/T","Outboard engine","10 HP","","Closed aft cockpit","","","","Fin keel","21’ 8”6.6 m","1323 lb600 kg","Cast iron","484 ft²45 m²","26’ 5”8.05 m","6’1.83 m","29’ 6”9 m","10’ 10”3.3 m","19.5","133","44 %","6.24 knots","","4","","4’ 6”1.36 m","","","","","","5’ 10”1.77 m","2’0.6 m","32’ 2”9.8 m","1x19 strand wire continuous","","","2’ 1”0.63 m","","","","3.49 Tx","","","About 1600","108 ft²10 m²","","23.6","","","","","","","","3","1’ 11”0.59 m","","","","","","","","","","","","","4’ 7”1.4 m / 1’ 4”0.4 m","","","","","","","","","","","","","","","","","https://www.boat-specs.com/"
"Surprise","Monohull","One design sailboat","Archambault & BG Race","Joubert Nivelt Design","France","GRP (glass reinforced polyester):  - Hull: Single skin  fiberglass polyester  - Deck: Sandwich balsa fiberglass polyester","1977","Still in production","Twin keel : fin without bulb","Single tiller","Single spade rudder","No","Yes","C","About 32 700 € (2017)","25’ 1”7.65 m","8’ 1”2.48 m","3’ 4”1 m","2976 lb1350 kg","328 ft²30.5 m²","662 ft²61.5 m²","178 ft²16.5 m²","151 ft²14 m²","","Sloop Marconi 7/8","Deck stepped mast","No","1","Swept-back","Aluminum spars","269 ft²/T24.97 m²/T","542 ft²/T50.35 m²/T","Outboard engine","10 HP","","Closed aft cockpit","","","","Twin keel","21’ 8”6.6 m","1323 lb600 kg","Cast iron","484 ft²45 m²","26’ 5”8.05 m","6’1.83 m","29’ 6”9 m","10’ 10”3.3 m","19.5","133","44 %","6.24 knots","","4","","4’ 6”1.36 m","","","","","","5’ 10”1.77 m","2’0.6 m","32’ 2”9.8 m","1x19 strand wire continuous","","","2’ 1”0.63 m","","","","3.49 Tx","","","About 1600","108 ft²10 m²","","23.6","","","","","","","","3","1’ 11”0.59 m","","","","","","","","","","","","","4’ 7”1.4 m / 1’ 4”0.4 m","","","","","","","","","","","","","","","","","https://www.boat-specs.com/"
"Surprise","Monohull","One design sailboat","Archambault & BG Race","Joubert Nivelt Design","France","GRP (glass reinforced polyester):  - Hull: Single skin  fiberglass polyester  - Deck: Sandwich balsa fiberglass polyester","1977","Still in production","Lifting keel : swing keel","Single tiller","Single transom hung rudder","No","Yes","C","About 32 700 € (2017)","25’ 1”7.65 m","8’ 1”2.48 m","5’ 2”1.6 m","2976 lb1350 kg","328 ft²30.5 m²","662 ft²61.5 m²","178 ft²16.5 m²","151 ft²14 m²","","Sloop Marconi 7/8","Deck stepped mast","No","1","Swept-back","Aluminum spars","269 ft²/T24.97 m²/T","542 ft²/T50.35 m²/T","Outboard engine","10 HP","","Closed aft cockpit","","","","Swing keel","21’ 8”6.6 m","1323 lb600 kg","Cast iron","484 ft²45 m²","26’ 5”8.05 m","6’1.83 m","29’ 6”9 m","10’ 10”3.3 m","19.5","133","44 %","6.24 knots","","4","","4’ 6”1.36 m","2’ 7”0.8 m","","","","","5’ 10”1.77 m","2’0.6 m","32’ 2”9.8 m","1x19 strand wire continuous","","","2’ 1”0.63 m","","","","3.49 Tx","","","About 1600","108 ft²10 m²","","23.6","","","","","","","","3","1’ 11”0.59 m","","","","","","","","","","","","","4’ 7”1.4 m / 1’ 4”0.4 m","","","","","","","","","","","","","","","","","https://www.boat-specs.com/"
"Suspens","Monohull","Racer-cruiser sailboat","Archambault","Joubert Nivelt Design","France","GRP (glass reinforced polyester):  - Hull: Single skin  fiberglass polyester  - Deck: Sandwich balsa fiberglass polyester","1979","1988","Keel : fin without bulb","Single tiller","Single spade rudder","No","No","","N/A €","30’ 4”9.25 m","9’ 10”3 m","5’ 11”1.8 m","6118 lb2775 kg","569 ft²52.9 m²","1150 ft²106.8 m²","288 ft²26.8 m²","281 ft²26.1 m²","","Sloop Marconi 7/8","Keel stepped mast","No","1","Swept-back","Aluminum spars","288 ft²/T26.79 m²/T","582 ft²/T54.08 m²/T","1 inboard engine","7 HP","Diesel","Closed aft cockpit","","","","Fin keel","25’ 7”7.8 m","1830 lb830 kg","Cast iron","861 ft²80 m²","35’ 4”10.75 m","10’ 8”3.25 m","38’ 1”11.6 m","13’ 10”4.2 m","21.0","166","30 %","6.78 knots","7.9 gal30 liters","6","31.7 gal120 liters","","","","","","","6’ 7”2 m","4’ 11”1.5 m","44’ 4”13.5 m","1x19 strand wire continuous","","","2’ 1”0.65 m","","2’ 1”0.65 m x 1’ 10”0.55 m","","","","","63","174 ft²16.2 m²","","32.5","","","","","","","","2","1’ 10”0.55 m","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://www.boat-specs.com/"
"Swan 115 FD","Monohull","Offshore fast cruising sailboat","Nautor's Swan","Frers  Naval Architecture & Engineering","Finland","Carbon fiber reinforced epoxy: Sandwich Nomex carbon fiber epoxy","2015","2019","Keel : T-shaped keel (with bulb)","Twin helm wheels","Twin spade rudders","No","No","","N/A €","115’ 6”35.2 m","26’ 7”8.12 m","15’ 5”4.7 m","203928 lb92500 kg","7102 ft²659.8 m²","10613 ft²986 m²","3832 ft²356 m²","","6781 ft²630 m²","Sloop Marconi 19/20","Keel stepped mast","No","4","Swept-back","Carbon fiber spars","347 ft²/T32.26 m²/T","519 ft²/T48.21 m²/T","1 inboard engine","450 HP","Diesel","Open aft cockpit","","","7","Standard","107’ 8”32.84 m","70548 lb32000 kg","Lead","","145’ 8”44.42 m","43’ 10”13.35 m","142’ 8”43.5 m","44’ 7”13.6 m","","74","35 %","13.91 knots","1452.9 gal5500 liters","14","792.5 gal3000 liters","","","","7","","","","","","","","","","","","","","369.8 gal1400 liters","","","3270 ft²303.8 m²","","","","","","","","","58.1 gal220 liters","","","243831 lb110600 kg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://www.boat-specs.com/"
"Swan 115 FD","Monohull","Offshore fast cruising sailboat","Nautor's Swan","Frers  Naval Architecture & Engineering","Finland","Carbon fiber reinforced epoxy: Sandwich Nomex carbon fiber epoxy","2015","2019","Lifting keel : fin with bulb, lifting","Twin helm wheels","Twin spade rudders","No","No","","N/A €","115’ 6”35.2 m","26’ 7”8.12 m","18’ 11”5.75 m","203928 lb92500 kg","7102 ft²659.8 m²","10613 ft²986 m²","3832 ft²356 m²","","6781 ft²630 m²","Sloop Marconi 19/20","Keel stepped mast","No","4","Swept-back","Carbon fiber spars","347 ft²/T32.26 m²/T","519 ft²/T48.21 m²/T","1 inboard engine","450 HP","Diesel","Open aft cockpit","","","7","Lifting keel","107’ 8”32.84 m","70548 lb32000 kg","Lead","","145’ 8”44.42 m","43’ 10”13.35 m","142’ 8”43.5 m","44’ 7”13.6 m","","74","35 %","13.91 knots","1452.9 gal5500 liters","14","792.5 gal3000 liters","","11’ 6”3.5 m","","7","","","","","","","","","","","","","","369.8 gal1400 liters","","","3270 ft²303.8 m²","","","","","","","","","58.1 gal220 liters","","","243831 lb110600 kg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://www.boat-specs.com/"
"Swan 115 S","Monohull","Offshore fast cruising sailboat","Nautor's Swan","Frers  Naval Architecture & Engineering","Finland","Carbon fiber reinforced epoxy: Sandwich Nomex carbon fiber epoxy","2015","2019","Keel : fin with bulb","Twin helm wheels","Twin spade rudders","No","No","","N/A €","115’ 6”35.2 m","26’ 7”8.12 m","15’ 5”4.7 m","209439 lb95000 kg","7026 ft²652.7 m²","10537 ft²978.9 m²","3756 ft²348.9 m²","","6781 ft²630 m²","Sloop Marconi 9/10","Keel stepped mast","No","","Swept-back","Carbon fiber spars","337 ft²/T31.35 m²/T","506 ft²/T47.02 m²/T","1 inboard engine","450 HP","Diesel","Open aft cockpit","","","7","Standard","107’ 8”32.84 m","70548 lb32000 kg","Lead","","145’ 8”44.42 m","43’ 10”13.35 m","141’ 1”43 m","44’ 7”13.6 m","","76","34 %","13.91 knots","1452.9 gal5500 liters","14","792.5 gal3000 liters","","","","7","","","","","","","","","","","","","","369.8 gal1400 liters","","","3270 ft²303.8 m²","","","","","","","","","58.1 gal220 liters","","","249976 lb113387 kg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://www.boat-specs.com/"
"Swan 115 S","Monohull","Offshore fast cruising sailboat","Nautor's Swan","Frers  Naval Architecture & Engineering","Finland","Carbon fiber reinforced epoxy: Sandwich Nomex carbon fiber epoxy","2015","Still in production","Lifting keel : fin with bulb, lifting","Twin helm wheels","Twin spade rudders","No","No","","N/A €","115’ 6”35.2 m","26’ 7”8.12 m","18’ 11”5.75 m","209439 lb95000 kg","7026 ft²652.7 m²","10537 ft²978.9 m²","3756 ft²348.9 m²","","6781 ft²630 m²","Sloop Marconi 9/10","Keel stepped mast","No","","Swept-back","Carbon fiber spars","337 ft²/T31.35 m²/T","506 ft²/T47.02 m²/T","1 inboard engine","450 HP","Diesel","Open aft cockpit","","","7","Lifting keel","107’ 8”32.84 m","70548 lb32000 kg","Lead","","145’ 8”44.42 m","43’ 10”13.35 m","141’ 1”43 m","44’ 7”13.6 m","","76","34 %","13.91 knots","1452.9 gal5500 liters","14","792.5 gal3000 liters","","11’ 6”3.5 m","","7","","","","","","","","","","","","","","369.8 gal1400 liters","","","3270 ft²303.8 m²","","","","","","","","","58.1 gal220 liters","","","249976 lb113387 kg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://www.boat-specs.com/"
"Swan 36","Monohull","Cruiser-racer sailboat","Nautor's Swan","Sparkman & Stephens","Finland","GRP (glass reinforced polyester):  - Hull: Single skin  fiberglass polyester  - Deck: Sandwich  fiberglass polyester","1967","1970","Keel : fin without bulb","Single tiller","Single spade rudder","No","No","","N/A €","35’ 10”10.91 m","9’ 7”2.94 m","6’ 2”1.9 m","15432 lb7000 kg","681 ft²63.3 m²","1316 ft²122.3 m²","229 ft²21.3 m²","452 ft²42 m²","","Sloop Marconi masthead","Keel stepped mast","No","1","0 °","Aluminum spars","186 ft²/T17.3 m²/T","360 ft²/T33.42 m²/T","1 inboard engine","15 HP","Diesel","Closed aft cockpit","","4  / 7","1","","25’ 6”7.77 m","7937 lb3600 kg","Lead","1087 ft²101 m²","42’ 11”13.07 m","13’ 8”4.17 m","38’ 1”11.6 m","13’ 1”3.99 m","18.0","423","51 %","6.77 knots","13.2 gal50 liters","","44.9 gal170 liters","6’ 2”1.88 m","","","1","","","","","","Continuous","","","","","","","","","","About 90","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://www.boat-specs.com/"
"Swan 37","Monohull","Cruiser-racer sailboat","Nautor's Swan","Sparkman & Stephens","Finland","Hull and deck: GRP (glass reinforced polyester)","1970","1974","Keel : fin without bulb","Single tiller","Single rudder on skeg","No","No","","N/A €","36’ 5”11.08 m","10’ 10”3.29 m","6’ 5”1.95 m","15432 lb7000 kg","778 ft²72.3 m²","1539 ft²143 m²","237 ft²22 m²","541 ft²50.3 m²","","Sloop Marconi masthead","Keel stepped mast","No","1","0 °","Aluminum spars","213 ft²/T19.76 m²/T","421 ft²/T39.08 m²/T","1 inboard engine","","Diesel","Closed aft cockpit","","6  / 8","1","","27’ 4”8.33 m","7275 lb3300 kg","Lead","1302 ft²121 m²","46’ 4”14.1 m","15’ 7”4.75 m","40’ 6”12.34 m","11’ 8”3.57 m","","343","47 %","7.01 knots","26.4 gal100 liters","","47.6 gal180 liters","","","","2","","","","","50’ 2”15.3 m","Single-strand (ROD) continuous","16 HP / 25 HP","","","","","","","","","59","","","25.1","","","","","","","","","","","","","","","","","","355 ft²33 m²","","","","","","","","","","","","","","","","","","","","","https://www.boat-specs.com/"
"Swan 371","Monohull","Cruiser-racer sailboat","Nautor's Swan","Ron Holland Design","Finland","Hull and deck: GRP (glass reinforced polyester)","1979","1987","Keel : fin without bulb","Single helm wheel","Single spade rudder","No","No","","N/A €","36’ 10”11.23 m","11’ 4”3.45 m","6’ 11”2.1 m","15432 lb7000 kg","603 ft²56 m²","","","","","Sloop Marconi masthead","Keel stepped mast","No","2","0 °","Aluminum spars","165 ft²/T15.3 m²/T","","1 inboard engine","20 HP","Diesel","Closed aft cockpit","","7  / 9","1","","29’ 8”9.06 m","5732 lb2600 kg","Lead","","46’ 10”14.25 m","15’ 1”4.6 m","41’12.5 m","12’3.65 m","","267","37 %","7.31 knots","37 gal140 liters","","66 gal250 liters","","","","2","","","","","","1x19 strand wire","","","","","","","","","","87","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://www.boat-specs.com/"
"Swan 411","Monohull","Offshore cruiser-racer sailboat","Nautor's Swan","Sparkman & Stephens","Finland","GRP (glass reinforced polyester):  - Hull: Single skin  fiberglass polyester  - Deck: Sandwich  fiberglass polyester","1977","1979","Keel : fin without bulb","Single helm wheel","Single rudder on skeg","No","No","","N/A €","40’ 10”12.44 m","11’ 11”3.64 m","7’ 4”2.22 m","23810 lb10800 kg","1131 ft²105.1 m²","2217 ft²206 m²","355 ft²33 m²","776 ft²72.1 m²","","Sloop Marconi masthead","Keel stepped mast","No","2","0 °","Aluminum spars","232 ft²/T21.51 m²/T","454 ft²/T42.16 m²/T","1 inboard engine","","Diesel","Closed aft cockpit","","7  / 9","1","","33’ 7”10.23 m","11464 lb5200 kg","Lead","1862 ft²173 m²","57’ 6”17.53 m","18’5.49 m","51’ 6”15.7 m","13’ 10”4.21 m","","286","48 %","7.76 knots","34.3 gal130 liters","","66 gal250 liters","","","","2","37 gal140 liters","","","","","Single-strand (ROD) discontinuous","37 HP / 47 HP","","","","","","","","","42","","","","","","","","","","","","","","","","","","","","","452 ft²42 m²","","","","","","","","","","","","","","","","","","","","0.55","https://www.boat-specs.com/"
"Swan 42","Monohull","Offshore cruiser-racer sailboat","Nautor's Swan","Ron Holland Design","Finland","Hull and deck: GRP (glass reinforced polyester)","1980","1985","Keel : fin without bulb","Single helm wheel","Single spade rudder","No","No","","N/A €","42’12.8 m","13’3.95 m","7’ 11”2.4 m","20944 lb9500 kg","1029 ft²95.6 m²","1990 ft²184.9 m²","343 ft²31.9 m²","686 ft²63.7 m²","","Sloop Marconi masthead","Keel stepped mast","No","2","0 °","Aluminum spars","229 ft²/T21.31 m²/T","444 ft²/T41.22 m²/T","1 inboard engine","40 HP","Diesel","Twin cockpit (center and closed aft)","","7  / 9","1","Standard","33’ 11”10.33 m","9039 lb4100 kg","Lead","1647 ft²153 m²","54’ 11”16.73 m","16’ 8”5.08 m","48’ 10”14.86 m","14’ 1”4.29 m","","244","43 %","7.80 knots","42.3 gal160 liters","","79.3 gal300 liters","","","","2","","","","","","1x19 strand wire","","","","","","","","","","38","","","32.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://www.boat-specs.com/"
"Swan 42","Monohull","Offshore cruiser-racer sailboat","Nautor's Swan","Ron Holland Design","Finland","Hull and deck: GRP (glass reinforced polyester)","1980","1985","Keel : fin without bulb","Single helm wheel","Single spade rudder","No","No","","N/A €","42’12.8 m","13’3.95 m","5’ 11”1.8 m","20944 lb9500 kg","1029 ft²95.6 m²","1990 ft²184.9 m²","343 ft²31.9 m²","686 ft²63.7 m²","","Sloop Marconi masthead","Keel stepped mast","No","2","0 °","Aluminum spars","229 ft²/T21.31 m²/T","444 ft²/T41.22 m²/T","1 inboard engine","40 HP","Diesel","Twin cockpit (center and closed aft)","","7  / 9","1","Shoal draft","33’ 11”10.33 m","9039 lb4100 kg","Lead","1647 ft²153 m²","54’ 11”16.73 m","16’ 8”5.08 m","48’ 10”14.86 m","14’ 1”4.29 m","","244","43 %","7.80 knots","42.3 gal160 liters","","79.3 gal300 liters","","","","2","","","","","","1x19 strand wire","","","","","","","","","","38","","","32.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://www.boat-specs.com/"
"Swan 441","Monohull","Offshore cruiser-racer sailboat","Nautor's Swan","Ron Holland Design","Finland","GRP (glass reinforced polyester):  - Hull: Single skin  fiberglass polyester  - Deck: Sandwich  fiberglass polyester","1978","1982","Keel : fin without bulb","Single helm wheel","Single spade rudder","No","No","","N/A €","44’ 5”13.54 m","13’ 5”4.07 m","7’ 11”2.4 m","24692 lb11200 kg","1249 ft²116 m²","2443 ft²227 m²","398 ft²37 m²","850 ft²79 m²","","Sloop Marconi masthead","Keel stepped mast","No","2","0 °","Aluminum spars","249 ft²/T23.17 m²/T","488 ft²/T45.35 m²/T","1 inboard engine","49 HP","Diesel","Twin cockpit (center and closed aft)","","5  / 10","","Cruising","36’ 8”11.2 m","11023 lb5000 kg","Lead","2045 ft²190 m²","60’18.3 m","19’5.79 m","53’ 11”16.42 m","14’ 6”4.42 m","27.5","226","45 %","8.12 knots","50.2 gal190 liters","","100.4 gal380 liters","6’ 1”1.85 m","","","2","","","","","70’ 6”21.5 m","","","6’ 4”1.92 m","","","","","34.40 Tx","","","45","","","","","","","","","1  / 2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://www.boat-specs.com/"
"Swan 45","Monohull","Offshore racer-cruiser sailboat","Nautor's Swan","Frers  Naval Architecture & Engineering","Finland","GRP (glass reinforced polyester): Single skin bottom, sandwich sides and deck:  fiberglass vinylester with carbon fiber reinforcements","2001","2010","Keel : fin with bulb","Single helm wheel","Single spade rudder","No","No","A","N/A €","45’ 5”13.83 m","12’ 10”3.91 m","9’ 2”2.8 m","19511 lb8850 kg","1411 ft²131.1 m²","2469 ft²229.4 m²","822 ft²76.4 m²","589 ft²54.7 m²","","Sloop Marconi 9/10","Keel stepped mast","No","2","Swept-back","Carbon fiber spars","330 ft²/T30.64 m²/T","577 ft²/T53.62 m²/T","1 inboard engine","55 HP","Diesel","Open aft cockpit","2  / 3","4  / 8","","","39’ 7”12.07 m","9502 lb4310 kg","Lead","1647 ft²153 m²","61’ 5”18.7 m","17’ 8”5.4 m","61’ 2”18.66 m","21’ 11”6.66 m","35.0","143","49 %","8.43 knots","55.5 gal210 liters","","84.5 gal320 liters","","","","","34.3 gal130 liters","","","","","","","","","","","","","15.9 gal60 liters","ISAF","About 50","","","","","","","","","","5.8 gal22 liters","","","23920 lb10850 kg","","","","","","","","","","","","","","","","","","","950 kg max.","","","","","","","","","","https://www.boat-specs.com/"
"Swan 47","Monohull","Offshore cruiser-racer sailboat","Nautor's Swan","Sparkman & Stephens","Finland","GRP (glass reinforced polyester):  - Hull: Single skin  fiberglass polyester  - Deck: Sandwich  fiberglass polyester","1974","1979","Keel : fin without bulb","Single helm wheel","Single rudder on skeg","No","No","","N/A €","47’ 10”14.57 m","13’ 8”4.19 m","7’ 7”2.33 m","32408 lb14700 kg","1366 ft²126.9 m²","2652 ft²246.4 m²","446 ft²41.4 m²","920 ft²85.5 m²","","Sloop Marconi masthead","Keel stepped mast","No","2","0 °","Aluminum spars","228 ft²/T21.15 m²/T","442 ft²/T41.06 m²/T","1 inboard engine","61 HP","Diesel","Twin cockpit (center and closed aft)","","7  / 9","2","Fin keel","36’ 4”11.05 m","15432 lb7000 kg","Lead","2207 ft²205 m²","62’18.9 m","19’ 10”6.04 m","55’ 8”16.98 m","16’4.88 m","","309","48 %","8.07 knots","52.8 gal200 liters","","92.5 gal350 liters","","","","2","66 gal250 liters","","","","66’ 10”20.35 m","Single-strand (ROD) discontinuous","","","","","","","","","","About 70","","","34.5","","","","","","","","","","","","","","","","","","506 ft²47 m²","","","","","","","","","","","","","","","","","","","","","https://www.boat-specs.com/"
"Swan 47","Monohull","Offshore cruiser-racer sailboat","Nautor's Swan","Sparkman & Stephens","Finland","GRP (glass reinforced polyester):  - Hull: Single skin  fiberglass polyester  - Deck: Sandwich  fiberglass polyester","1974","1979","Centerboard : pivoting centerboard in the keel","Single helm wheel","Single rudder on skeg","No","No","","N/A €","47’ 10”14.57 m","13’ 8”4.19 m","9’ 6”2.9 m","34172 lb15500 kg","1366 ft²126.9 m²","2652 ft²246.4 m²","446 ft²41.4 m²","920 ft²85.5 m²","","Sloop Marconi masthead","Keel stepped mast","No","2","0 °","Aluminum spars","220 ft²/T20.41 m²/T","427 ft²/T39.64 m²/T","1 inboard engine","61 HP","Diesel","Twin cockpit (center and closed aft)","","7  / 9","2","Keel and centerboard","36’ 4”11.05 m","17196 lb7800 kg","Lead","2207 ft²205 m²","62’18.9 m","19’ 10”6.04 m","55’ 8”16.98 m","16’4.88 m","","325","50 %","8.07 knots","52.8 gal200 liters","","92.5 gal350 liters","","5’ 11”1.8 m","","2","66 gal250 liters","","","","66’ 10”20.35 m","Single-strand (ROD) discontinuous","","","","","","","","","","About 70","","","34.5","","","","","","","","","","","","","","","","","","506 ft²47 m²","","","","","","","","","","","","","","","","","","","","","https://www.boat-specs.com/"
"Swan 54","Monohull","Offshore fast cruising sailboat","Nautor's Swan","Frers  Naval Architecture & Engineering","Finland","GRP (glass reinforced polyester): Sandwich foam fiberglass vinylester","2016","Still in production","Keel : L-shaped keel (with bulb)","Twin helm wheels","Single spade rudder","No","No","A","About 1 100 000 € (2020)","54’ 1”16.48 m","15’ 7”4.75 m","8’2.44 m","48502 lb22000 kg","1538 ft²142.9 m²","3133 ft²291.1 m²","873 ft²81.1 m²","","2260 ft²210 m²","Sloop Marconi 19/20","Keel stepped mast","No","2","20 °","Carbon fiber spars","196 ft²/T18.2 m²/T","399 ft²/T37.08 m²/T","1 inboard engine","110 HP","Diesel","Closing aft cockpit with opening system","3  / 4","6  / 8","","Standard","47’ 2”14.4 m","18078 lb8200 kg","Lead","","68’ 6”20.87 m","19’ 6”5.95 m","65’ 11”20.08 m","22’6.7 m","","209","37 %","9.21 knots","130.8 gal495 liters","","180.7 gal684 liters","","","","","","","","","","","","","","","","","","31.7 gal120 liters","","","665 ft²61.8 m²","","","","","","","","2  / 3","13.2 gal50 liters","","","57320 lb26000 kg","","","","1292 ft²120 m²","","","","","","","","","","","","","","","","","","","","","","","","","https://www.boat-specs.com/"
"Swan 54","Monohull","Offshore fast cruising sailboat","Nautor's Swan","Frers  Naval Architecture & Engineering","Finland","GRP (glass reinforced polyester): Sandwich foam fiberglass vinylester","2016","Still in production","Centerboard : pivoting centerboard in the keel","Twin helm wheels","Twin spade rudders","No","No","A","About 1 100 000 € (2020)","54’ 1”16.48 m","15’ 7”4.75 m","12’ 1”3.7 m","52801 lb23950 kg","1538 ft²142.9 m²","3133 ft²291.1 m²","873 ft²81.1 m²","","2260 ft²210 m²","Sloop Marconi 19/20","Keel stepped mast","No","2","20 °","Carbon fiber spars","185 ft²/T17.2 m²/T","377 ft²/T35.04 m²/T","1 inboard engine","110 HP","Diesel","Closing aft cockpit with opening system","3  / 4","6  / 8","","Keel and centerboard","47’ 2”14.4 m","22377 lb10150 kg","Lead","","68’ 6”20.87 m","19’ 6”5.95 m","65’ 11”20.08 m","22’6.7 m","","227","42 %","9.21 knots","130.8 gal495 liters","","180.7 gal684 liters","","4’ 7”1.4 m","","","","","","","","","","","","","","","","31.7 gal120 liters","","","665 ft²61.8 m²","","","","","","","","2  / 3","13.2 gal50 liters","","","57320 lb26000 kg","","","","1292 ft²120 m²","","","","","","","","","","","","","","","","","","","","","","","","","https://www.boat-specs.com/"
"Swan 60 FD","Monohull","Offshore racer-cruiser sailboat","Nautor's Swan","Frers  Naval Architecture & Engineering","Finland","Fiberglass reinforced epoxy: Sandwich PVC fiberglass  with carbon fiber reinforcements","2009","2017","Keel : T-shaped keel (with bulb)","Twin helm wheels","Single spade rudder","No","No","A","About 2 750 000 € (2016)","61’ 11”18.86 m","16’ 8”5.09 m","11’ 10”3.6 m","41226 lb18700 kg","2377 ft²220.85 m²","4799 ft²445.85 m²","1355 ft²125.85 m²","","3444 ft²320 m²","Sloop Marconi 19/20","Keel stepped mast","No","2","Swept-back","Carbon fiber spars","337 ft²/T31.35 m²/T","681 ft²/T63.28 m²/T","1 inboard engine","110 HP","Diesel","Open aft cockpit","","6  / 9","3","","54’ 10”16.7 m","16976 lb7700 kg","Carbon fiber fin with lead bulb","","83’ 6”25.46 m","23’ 2”7.07 m","79’ 10”24.32 m","28’ 1”8.55 m","","114","41 %","9.92 knots","132.1 gal500 liters","","105.7 gal400 liters","","","","3","","","","","","Single-strand (ROD)","","","","","","","","31.7 gal120 liters","","","1023 ft²95 m²","","","","","","","","","13.2 gal50 liters","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://www.boat-specs.com/"
"Swan 60 S","Monohull","Offshore racer-cruiser sailboat","Nautor's Swan","Frers  Naval Architecture & Engineering","Finland","Fiberglass reinforced epoxy: Sandwich PVC fiberglass epoxy with carbon fiber reinforcements","2009","2017","Keel : fin with bulb","Twin helm wheels","Single spade rudder","No","No","A","About 2 750 000 € (2017)","61’ 11”18.86 m","16’ 8”5.09 m","9’ 10”3 m","52250 lb23700 kg","2222 ft²206.4 m²","4359 ft²405 m²","1238 ft²115 m²","","3122 ft²290 m²","Sloop Marconi 9/10","Deck stepped mast","No","2","Swept-back","Carbon fiber spars","269 ft²/T25.02 m²/T","528 ft²/T49.09 m²/T","1 inboard engine","110 HP","Diesel","Open aft cockpit","3  / 4","6  / 10","3","","57’ 1”17.4 m","18078 lb8200 kg","Lead","","79’ 8”24.3 m","23’ 2”7.07 m","79’ 2”24.15 m","24’ 11”7.6 m","","127","35 %","10.12 knots","264.2 gal1000 liters","","132.1 gal500 liters","","","","","","","","","","Single-strand (ROD)","","","","","","","","31.7 gal120 liters","","","984 ft²91.4 m²","","","","","","","","","13.2 gal50 liters","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://www.boat-specs.com/"
